iter	Passed	Remaining
0	362	361674
1	545	272390
2	703	233857
3	847	211048
4	1000	199166
5	1158	191990
6	1297	184074
7	1414	175370
8	1558	171621
9	1685	166913
10	1806	162440
11	1941	159828
12	2060	156434
13	2193	154510
14	2333	153225
15	2461	151379
16	2595	150090
17	2734	149201
18	2880	148709
19	3004	147211
20	3138	146327
21	3273	145521
22	3412	144955
23	3548	144292
24	3688	143855
25	3831	143520
26	3981	143466
27	4111	142726
28	4257	142565
29	4408	142547
30	4553	142342
31	4712	142565
32	4903	143697
33	5095	144783
34	5353	147604
35	5550	148618
36	5693	148180
37	5840	147856
38	5984	147464
39	6161	147872
40	6329	148043
41	6502	148310
42	6652	148053
43	6831	148426
44	7064	149923
45	7300	151414
46	7541	152907
47	7772	154147
48	7967	154628
49	8165	155153
50	8353	155447
51	8559	156047
52	8779	156862
53	8990	157506
54	9187	157861
55	9379	158106
56	9573	158387
57	9779	158827
58	9936	158484
59	10098	158210
60	10249	157769
61	10419	157631
62	10578	157341
63	10736	157017
64	10883	156551
65	11036	156190
66	11183	155738
67	11325	155225
68	11473	154810
69	11608	154228
70	11737	153585
71	11869	152984
72	12068	153254
73	12208	152770
74	12333	152109
75	12473	151657
76	12620	151280
77	12749	150705
78	12886	150235
79	13024	149778
80	13169	149418
81	13298	148882
82	13460	148709
83	13599	148294
84	13712	147613
85	13846	147161
86	13950	146402
87	14052	145636
88	14159	144936
89	14304	144639
90	14422	144068
91	14525	143363
92	14635	142736
93	14744	142109
94	14859	141553
95	14972	140995
96	15089	140469
97	15200	139904
98	15309	139330
99	15412	138713
100	15515	138099
101	15625	137566
102	15777	137400
103	15882	136832
104	15989	136288
105	16096	135761
106	16205	135246
107	16311	134724
108	16419	134222
109	16526	133713
110	16630	133189
111	16739	132717
112	16842	132207
113	16950	131737
114	17053	131236
115	17157	130748
116	17265	130301
117	17368	129824
118	17474	129372
119	17577	128900
120	17680	128441
121	17786	128003
122	17892	127577
123	17995	127133
124	18102	126718
125	18204	126276
126	18308	125855
127	18414	125450
128	18515	125013
129	18618	124603
130	18718	124172
131	18827	123802
132	18929	123400
133	19034	123013
134	19138	122629
135	19240	122230
136	19344	121856
137	19450	121497
138	19555	121132
